Study Program,Courses,Description
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Bachelor Thesis Colloquium ,
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Basic Programming Skills,art programming python programming programs programming loops pipes handling recursive algorithms sorting programming programming java similarities programming
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Discrete Mathematics 1,linear algebra discrete mathematics methodical mathematics logic correspondencies mappings algebraic rings homomorphisms vector linear operators matrices linear equations gauss algorithm
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Fundamentals of Computer Engineering,computer engineering design analysis hardware boolean algebra minimization logic binary codes arithmetic calculations computers equations flip flops design digital circuits combinational sequential automata microprogramming complex microcomputer
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Fundamentals of Computer Engineering Lab,lab computer design digital circuits simulation tool simulate analyze digital circuits design evaluate combinatorial sequential digital circuits
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Logic,computer science logic databases query sql specification boolean circuits analysis verification programs logic programming prolog logic computer science logic predicate logic logic equivalence resolution logic sat solvers predicate logic undecidability predicate logic herbrand resolution predicate logic logic programming resolution
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Modeling,programming theoretical computer computer science techniques
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Probability Calculus and Statistics,probability calculation probability discrete distributions binomial distribution markov stochastic matrixes hypothesis error
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Advanced Programming Technologies,programming java python java practical solve programming objectoriented programming architecture design patterns programming graphical controller technique serialisation database jdbc network programming webservices
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Automata and Formal Languages,computer science compiler verification modeling handling automata chomsky hierarchy syntax automata pumping lemma equivalence automata decidability verification pumping lemma cyk algorithm automata deterministic decidability xml dtds turing machines
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Data Structures and Algorithms,abstract data abstract data handling algorithms algorithm syntax semantics specification algorithms algorithms computability algorithms sorting abstract data specification implementation abstract data lists stacks queues binary binary hash algorithms sorting graph algorithms backtracking
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Mathematics for Computer Science 1,complex convergence mappings differential integral calculus
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Computability and Complexity,computability computer science computation np unsolved theoretical computer science computability computability turing machines computability loop goto programs recursive recursive ackermann undecidability reductions np np sat np
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Computer Networks and Communication Systems,hardware computer networks technology network hardware computer networks media topologies technology ethernet fx gigabit ethernet fddi atm wireless lan dsl techniques tcp ip ipsec network client server sockets internet dns ftp www
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Software Engineering,software programming software systematic testing software techniques software practical programming programming software software analysis requirements specifications specifications requirements complex patterns software frames software analysis design design implementation architectural design patterns design programs testing
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Software Engineering Lab,software engineering developing software prototype patterns analysis requirements specifications design software architecture patterns machine software artifacts
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Computer Architecture,architecture computers processors architectures neumann microprocessors pcs architectures computing data memory register stacks dma cpu interrupts dma bussystems usb pci microarchitecture microprogramming risc cisc processors piplining computer architectures core cpus vector computers clusters grid computing computing
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Programming Paradigm,programming operational programming programming programming paradigms implementation procedural functional data polymorphism logic programming
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Security in Communication Networks,technologies architectures security communication networks cryptography symmetric asymmetric hash digital authentication proofs safety administration safety architectures software manipulations security lan internet ipsec
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Databases,data tool handling volumes data database theoretical practical database databases database design relational relational query data integrity relational design synchronization security relational databases
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Databases Lab,lab practical handling relational database database schemas integrity complex sql queries database programs web database
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Operating Systems,microsoft windows unix linux requirements computer architectures multiprcessor processsynchronsation semaphores monitors deadlocks communication memory memory memory allocation virtual memory paging segmentation cache file security file files files implementations devices controllers optimization multiprocessor os multiprocessor multicomputer os security authentication attacks buffer overflow classification os
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Practical Project,project unity practical theoretical practical software hardware software theoretical software informatics mathematics innovative prototypically software project
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Basic Programming Skills,art programming python programming programs programming loops pipes handling recursive algorithms sorting programming programming java similarities programming
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Discrete Mathematics 1,linear algebra discrete mathematics methodical mathematics logic correspondencies mappings algebraic rings homomorphisms vector linear operators matrices linear equations gauss algorithm
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Fundamentals of Computer Engineering,computer engineering design analysis hardware boolean algebra minimization logic binary codes arithmetic calculations computers equations flip flops design digital circuits combinational sequential automata microprogramming complex microcomputer
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Fundamentals of Computer Engineering Lab,lab computer design digital circuits simulation tool simulate analyze digital circuits design evaluate combinatorial sequential digital circuits
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Logic,computer science logic databases query sql specification boolean circuits analysis verification programs logic programming prolog logic computer science logic predicate logic logic equivalence resolution logic sat solvers predicate logic undecidability predicate logic herbrand resolution predicate logic logic programming resolution
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Modeling,programming theoretical computer computer science techniques
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Advanced Programming Technologies,programming java python java practical solve programming objectoriented programming architecture design patterns programming graphical controller technique serialisation database jdbc network programming webservices
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Automata and Formal Languages,computer science compiler verification modeling handling automata chomsky hierarchy syntax automata pumping lemma equivalence automata decidability verification pumping lemma cyk algorithm automata deterministic decidability xml dtds turing machines
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Data Structures and Algorithms,abstract data abstract data handling algorithms algorithm syntax semantics specification algorithms algorithms computability algorithms sorting abstract data specification implementation abstract data lists stacks queues binary binary hash algorithms sorting graph algorithms backtracking
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Mathematics for Computer Science 1,complex convergence mappings differential integral calculus
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Computability and Complexity,computability computer science computation np unsolved theoretical computer science computability computability turing machines computability loop goto programs recursive recursive ackermann undecidability reductions np np sat np
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Computer Networks and Communication Systems,hardware computer networks technology network hardware computer networks media topologies technology ethernet fx gigabit ethernet fddi atm wireless lan dsl techniques tcp ip ipsec network client server sockets internet dns ftp www
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Probability Calculus and Statistics,probability calculation probability discrete distributions binomial distribution markov stochastic matrixes hypothesis error
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Software Engineering,software programming software systematic testing software techniques software practical programming programming software software analysis requirements specifications specifications requirements complex patterns software frames software analysis design design implementation architectural design patterns design programs testing
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Software Engineering Lab,software engineering developing software prototype patterns analysis requirements specifications design software architecture patterns machine software artifacts
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Computer Architecture,architecture computers processors architectures neumann microprocessors pcs architectures computing data memory register stacks dma cpu interrupts dma bussystems usb pci microarchitecture microprogramming risc cisc processors piplining computer architectures core cpus vector computers clusters grid computing computing
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Programming Paradigm,programming operational programming programming programming paradigms implementation procedural functional data polymorphism logic programming
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Security in Communication Networks,technologies architectures security communication networks cryptography symmetric asymmetric hash digital authentication proofs safety administration safety architectures software manipulations security lan internet ipsec
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Databases,data tool handling volumes data database theoretical practical database databases database design relational relational query data integrity relational design synchronization security relational databases
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Databases Lab,lab practical handling relational database database schemas integrity complex sql queries database programs web database
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Operating Systems,microsoft windows unix linux requirements computer architectures multiprcessor processsynchronsation semaphores monitors deadlocks communication memory memory memory allocation virtual memory paging segmentation cache file security file files files implementations devices controllers optimization multiprocessor os multiprocessor multicomputer os security authentication attacks buffer overflow classification os
B.Sc. Applied Computer Sience  PO19 - B-AI-19,Practical Project,project unity practical theoretical practical software hardware software theoretical software informatics mathematics innovative prototypically software project
B.Sc. Civil Engineering  PO19 - B-BIW-19,Engineering Mechanics 1,internal mechanical metric
B.Sc. Civil Engineering  PO19 - B-BIW-19,Linear Algebra,linear algebra analytical geometry probability
B.Sc. Civil Engineering  PO19 - B-BIW-19,Physics for civil engineering,physics mechanics vibrations waves electric magnetic thermodynamics gas radioactivity draw formula physical physics differentiation learning physical
B.Sc. Civil Engineering  PO19 - B-BIW-19,Analysis,differential integral calculation calculus differential equations
B.Sc. Civil Engineering  PO19 - B-BIW-19,Building Informatics 1 - Fundamentals of Building Informatics,hardware software technology programming flowcharts arrays data loops technology lists excel automation evaluations excel objects vba excel sql databases sql database computer planning technology techniques programming data databases computer science project software image software multimedia project
B.Sc. Civil Engineering  PO19 - B-BIW-19,Engineering Mechanics 2,laws elastostatics girders
B.Sc. Civil Engineering  PO19 - B-BIW-19,Materials 1 - Introduction to materials science,science crystallography ray diffration defects crystals comprising implications mechanics chemistry hydrogen atom periodic chemical thermodynamics iron carbon metals
B.Sc. Civil Engineering  PO19 - B-BIW-19,Construction Materials 2,mineral constituents mortar ceramic mineral asphalt plasticssoft
B.Sc. Civil Engineering  PO19 - B-BIW-19,Foundations of Engineering Mechanics 3 – Foundations of kinematics and kinetics,kinematics cartesian curvilinear coordinates coordinates coordinates polar cylindrical spherical coordinates dimensional motion kinetics parabolic collision linear angular momentum newton euler laws
B.Sc. Civil Engineering  PO19 - B-BIW-19,Konstruktiver Verkehrswegebau 1 - Grundlagen des Straßenbaus,earthworks structural design german asphalt asphalt teil design curvature slope visibility distance german ral
B.Sc. Civil Engineering  PO19 - B-BIW-19,Structural Analysis 1 ,planning structural framework safety calculation dimensional joints column mechanical column virtual calculation differential equation elastic labor equation practical
B.Sc. Civil Engineering  PO19 - B-BIW-19,Construction Site Management 1 - Fundamentals of Construction Site Management,technique calculation laws
B.Sc. Civil Engineering  PO19 - B-BIW-19,Geotechnical Engineering 1 - Soil Mechanics and Geotechnical Work,physical soils groundwater distribution soil behaviour soils earth geotechnical structural
B.Sc. Civil Engineering  PO19 - B-BIW-19,Steel Structure 1 / Timber Structure 1 - Fundamentals of Steel and Timber Structures,steel steels steel products design compression torsion design welded bolted wood wood design compression design woods glued laminated nails bolts dowels tensile safety
B.Sc. Civil Engineering  PO19 - B-BIW-19,Construction Site Management 2 - Construction Business Management,calculation methodology financing
B.Sc. Civil Engineering  PO19 - B-BIW-19,Geotechnical Engineering 2 - Foundations,analysis design raft verifications
B.Sc. Civil Engineering  PO19 - B-BIW-19,Steel Structure 2,design designing girders girders columns frames stability steel flexural buckling elasticity laterial torsional buckling design calculation bolted welded
B.Sc. Civil Engineering  PO19 - B-BIW-19,Urban Water Management 1 / Chemistry - Fundamentals of Urban Water Management,chemistry water water analysis water sanitary engineering water water usability water water protection water water measurement water water water water water distribution urban drainage hydrological measurement design sewers storm overflow stormwater overflow tank stormwater tank soil french drains drainage sewer network planning sewer water measurement mechanical biological chemical water water
B.Sc. Civil Engineering  PO19 - B-BIW-19,Water Engineering 1,hydraulics hydrology water water engineering design hydro engineering river hydropower protection barrages dams flood river restoration
B.Sc. Civil Engineering  PO19 - B-BIW-19,Engineering Mechanics 1,internal mechanical metric
B.Sc. Civil Engineering  PO19 - B-BIW-19,Linear Algebra,linear algebra analytical geometry probability
B.Sc. Civil Engineering  PO19 - B-BIW-19,Physics for civil engineering,physics mechanics vibrations waves electric magnetic thermodynamics gas radioactivity draw formula physical physics differentiation learning physical
B.Sc. Civil Engineering  PO19 - B-BIW-19,Analysis,differential integral calculation calculus differential equations
B.Sc. Civil Engineering  PO19 - B-BIW-19,Building Informatics 1 - Fundamentals of Building Informatics,hardware software technology programming flowcharts arrays data loops technology lists excel automation evaluations excel objects vba excel sql databases sql database computer planning technology techniques programming data databases computer science project software image software multimedia project
B.Sc. Civil Engineering  PO19 - B-BIW-19,Engineering Mechanics 2,laws elastostatics girders
B.Sc. Civil Engineering  PO19 - B-BIW-19,Materials 1 - Introduction to materials science,science crystallography ray diffration defects crystals comprising implications mechanics chemistry hydrogen atom periodic chemical thermodynamics iron carbon metals
B.Sc. Civil Engineering  PO19 - B-BIW-19,Construction Materials 2,mineral constituents mortar ceramic mineral asphalt plasticssoft
B.Sc. Civil Engineering  PO19 - B-BIW-19,Foundations of Engineering Mechanics 3 – Foundations of kinematics and kinetics,kinematics cartesian curvilinear coordinates coordinates coordinates polar cylindrical spherical coordinates dimensional motion kinetics parabolic collision linear angular momentum newton euler laws
B.Sc. Civil Engineering  PO19 - B-BIW-19,Konstruktiver Verkehrswegebau 1 - Grundlagen des Straßenbaus,earthworks structural design german asphalt asphalt teil design curvature slope visibility distance german ral
B.Sc. Civil Engineering  PO19 - B-BIW-19,Structural Analysis 1 ,planning structural framework safety calculation dimensional joints column mechanical column virtual calculation differential equation elastic labor equation practical
B.Sc. Civil Engineering  PO19 - B-BIW-19,Construction Site Management 1 - Fundamentals of Construction Site Management,technique calculation laws
B.Sc. Civil Engineering  PO19 - B-BIW-19,Geotechnical Engineering 1 - Soil Mechanics and Geotechnical Work,physical soils groundwater distribution soil behaviour soils earth geotechnical structural
B.Sc. Civil Engineering  PO19 - B-BIW-19,Steel Structure 1 / Timber Structure 1 - Fundamentals of Steel and Timber Structures,steel steels steel products design compression torsion design welded bolted wood wood design compression design woods glued laminated nails bolts dowels tensile safety
B.Sc. Civil Engineering  PO19 - B-BIW-19,Construction Site Management 2 - Construction Business Management,calculation methodology financing
B.Sc. Civil Engineering  PO19 - B-BIW-19,Geotechnical Engineering 2 - Foundations,analysis design raft verifications
B.Sc. Civil Engineering  PO19 - B-BIW-19,Steel Structure 2,design designing girders girders columns frames stability steel flexural buckling elasticity laterial torsional buckling design calculation bolted welded
B.Sc. Civil Engineering  PO19 - B-BIW-19,Urban Water Management 1 / Chemistry - Fundamentals of Urban Water Management,chemistry water water analysis water sanitary engineering water water usability water water protection water water measurement water water water water water distribution urban drainage hydrological measurement design sewers storm overflow stormwater overflow tank stormwater tank soil french drains drainage sewer network planning sewer water measurement mechanical biological chemical water water
B.Sc. Civil Engineering  PO19 - B-BIW-19,Water Engineering 1,hydraulics hydrology water water engineering design hydro engineering river hydropower protection barrages dams flood river restoration
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Fundamentals of Computer Engineering 1,computer engineering design analysis hardware boolean algebra minimization coding arithmetic logic binary codes design digital circuits combinational sequential automata microprogramming boolean algebra coding digital circuits design complex microcomputer
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Fundamentals of Computer Engineering 1 Lab,lab computer design digital circuits simulation tools simulate analyze circuits combinatorial sequential digital circuits
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Mathematics I1,calculus predicate calculus mathematical complex complex exponential logarithm exponential trigonometric hyperbolic techniques differentiation tangent derivatives derivatives antiderivatives antiderivatives definite integrals definite integrals techniques indefinite derivative derivative convexity concavity extrema centroids convergence taylor vector matrices determinats linear equations eigenvalues eigenvectors
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Measurement Technology,metrology measurement technology approximation data analysis expression measurement measurement electric quantities dc ac practical analog digital data sensoric techniques measurement electric quantities electric devices
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Mechanics I1,vector kinematics geometry motion dynamics motion kinematics dynamics particle motion
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Network Analysis,analysis linear electric networks frame linear laws electric networks analysis electric networks circuits complex network electrically transformations delta transformation transformation complex transformation complex quantities electric dc ac circuits network analysis magnetic circuits thermal circuits
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Non-technical Catalog BA 1,technical technical
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Fundamentals of Programming,programming technical scientific embedded solutions network communication algorithmic procedural implementation programming techniques modular programs practical algorithms design algorithm preprocessor compiler atomic data formatted arrays sorting pointers dynamic memory allocation memory dynamic data lists stacks queues
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Fundamentals of Programming Lab,practical characters calculating formulas implementing quizzes loops loop recursive calls formulas arrays vector matrix calculations vector matrix parameters pointers data arrays strings parameters dynamic memory storage handling stack queue
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Logical Design of Digital Systems,digital circuit design logical algebra karnaugh combinatorial sequential circuits algorithmic minimization cluskey moore algorithm circuits computer memory programmable logig devices testing digital ciruits
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Logical Design of Digital Systems Lab,practical lab simulation analyze memory software tools programmable logic digital circuits tectronix lv
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Mathematics I2,mathematics multidimensional vector curves ir derivatives extrema vectorfields integrals integrals ode laplace fourier pde fourier
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Non-technical Catalog BA 2,technical technical
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Physics,vectors equation linear motion elastic inelastic collision oscillations waves oscillations waves acoustic waves sound intensity sound db scale optics geometrical optics prism lenses mirror snell light imaging relativistic
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Physics Lab,experiment physics thermodynamics optics atomic physics experiment experiment experiment measurement analysis error analysis
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Static and Stationary Fields,physical laws static electric magnetic electrical magnetic faraday maxwell equations integral
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Computer Networks and Communication Systems,hardware computer networks technology network hardware computer networks media topologies technology ethernet fx gigabit ethernet fddi atm wireless lan dsl techniques tcp ip ipsec network client server sockets internet dns ftp www
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Discrete Mathematics,counting lists lists lists multisets permutations generating graph adjacency lists adjacency matrices euler spanning networks algebraic arithmetics modular arithmetic polynomials codes cryptographie correcting errors
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Economics for Engineers,economics volumes production finance capital budgeting
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Object-oriented Programming,programming oop implementations programming software behaviour encapsulation setter getter modularity hierarchy polymorphism protection constructors destructors dynamic memory allocation operators static dynamic virtual virtual handling generic programming
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Object-oriented Programming Lab,practical programming homeworks handling data files hierarchies dynamic heap
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Probability Calculus and Statistics,probability calculation probability discrete distributions binomial distribution markov stochastic matrixes hypothesis error
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Scientific Working,scientific scientific scientific
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Theory of Linear Systems,linear signals dirac delta linear impulse computation signal integral fourier laplace frequency hilbert fourier linear discrete
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Theory of Linear Systems Lab,practical experiments evaluate measurement data scientific experiments measuring design digital
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Communications Engineering,analog communication modulation modulation frequency modulation conseqeuntly digital modulation amplitude freqeuncy keying quadrature continous keying
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Computer Architecture,architecture computers processors architectures neumann microprocessors pcs architectures computing data memory register stacks dma cpu interrupts dma bussystems usb pci microarchitecture microprogramming risc cisc processors piplining computer architectures core cpus vector computers clusters grid computing computing
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Computer Based Engineering Mathematics,computer engineering mathematics designed solve engineering mathematics softwares matlab linear equations lu decomposition cholesky factorization accuracy solutions iterative solution gauss seidel jacobi linear curve linear equations equation taylor linearization iteration newton jacobian fixpoints bifurcations singularities accuracy solution parameter equation curve linear curve iii differential equations ivp bvp discretization vibration equation heat equation
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Computer Based Engineering Mathematics Lab Project,labs computer engineering mathematics implement
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Control Engineering EIT,dynamic stability synthesis design
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Foundations of Artificial Intelligence,intelligent intelligence artificial intelligence computer artificial intelligence practical ai intelligence architectures bfs dfs genetic algorithms probabilistic machine learning classification naive bayes clustering regression ai image analysis
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Internet-Technologie and Web Engineering ,techniques internet web scientific tools web design internet techniques creation web sockets design internet telnet ftp usenet irc dns security dnssec smtp mime imap spam hypertext http session web html xml css client techniques implementation web javascript ajax
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Operating Systems and Computer Networks,computer computer networks unix dos memory hierarchy storage cache memories paging segmenting virtual computer communication mechanisms computer networks design networks error probability
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Control Engineering EIT Lab,lab experiments parameter temprature controller design
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Fundamentals of Electronics,capacitors devices ccd transistors mosfet junction fet mesfet jfet bipolar devices diode npn pnp bipolar transistors diodes thyristors dc devices
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Industrial Internship,implement
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Project Work,project technical solution team specification project specifications design interface english
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Bachelor Thesis (ISE),scientific engineering sciences autonomously scientific
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Bachelor-Thesis Colloquium,discussions
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Computer Networks Lab,computer networks lab practical implementation computer networks network network topologies routing sockets functioning servers firewalls project intranet file web server intranet connected web firewall intranet connected external socket programming network analysis programs
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Mobile Communications,mobile communications digital mobile communication mobile communication theoretical digital cellular mobile communication networks mobile communication cellular mobile communications cellular network signal
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,Security in Communication Networks,technologies architectures security communication networks cryptography symmetric asymmetric hash digital authentication proofs safety administration safety architectures software manipulations security lan internet ipsec
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Fundamentals of Computer Engineering 1,computer engineering design analysis hardware boolean algebra minimization coding arithmetic logic binary codes design digital circuits combinational sequential automata microprogramming boolean algebra coding digital circuits design complex microcomputer
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Fundamentals of Computer Engineering 1 Lab,lab computer design digital circuits simulation tools simulate analyze circuits combinatorial sequential digital circuits
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Mathematics I1,calculus predicate calculus mathematical complex complex exponential logarithm exponential trigonometric hyperbolic techniques differentiation tangent derivatives derivatives antiderivatives antiderivatives definite integrals definite integrals techniques indefinite derivative derivative convexity concavity extrema centroids convergence taylor vector matrices determinats linear equations eigenvalues eigenvectors
